GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,BetRateMismatchException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,EventAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,EventNotFoundException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,BetSlipLimitExceededException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,InvalidBetTypeException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,LockOperationFailedException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,BetSlipTimeoutException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.exception,InvalidEventException,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,BetType.new BetType() {...},0,8,0,0,0,2,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,BetType.new BetType() {...},0,8,0,0,0,2,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,BetType.new BetType() {...},0,8,0,0,0,2,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,Event,0,33,0,0,0,1,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,Customer,0,9,0,0,0,1,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.domain.model,BetType,0,32,0,0,0,7,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,EventService,0,131,0,24,0,36,0,14,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,DistributedEventLockService,0,65,0,0,0,12,0,3,0,3
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,EventOddsUpdaterService,0,35,0,0,0,6,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,BetSlipService,0,173,0,8,0,35,0,12,0,8
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,DistributedBetSlipLocker,0,54,0,0,0,9,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.application.service,BulletinQueryService,0,9,0,0,0,4,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.persistence.entity,EventEntity,0,8,0,0,0,4,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.persistence.entity,BetSlipEntity,0,4,0,0,0,2,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.util,CustomerIdValidator,0,8,0,0,0,4,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.application.dto,EventRequest,0,24,0,0,0,1,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.application.dto,CreateBetSlipRequest,0,21,0,0,0,1,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.configuration,SchedulerLockConfig,0,37,0,2,0,7,0,5,0,4
BetCaseStudy,com.casestudy.BetCaseStudy.configuration,SwaggerConfig,0,76,0,0,0,25,0,3,0,3
BetCaseStudy,com.casestudy.BetCaseStudy.configuration,SecurityConfig,0,66,0,0,0,14,0,4,0,4
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.locking,RedisLockService,0,46,0,2,0,12,0,3,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.scheduler,EventOddsScheduler,0,58,1,3,0,16,1,5,0,4
BetCaseStudy,com.casestudy.BetCaseStudy.api.exception,GlobalExceptionHandler,0,177,0,0,0,55,0,10,0,10
BetCaseStudy,com.casestudy.BetCaseStudy,BetCaseStudyApplication,5,3,0,0,2,1,1,1,1,1
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.security,HeaderAuthenticationFilter,1,121,2,18,0,27,2,12,0,4
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.security,MockCustomerProvider,0,26,0,0,0,5,0,4,0,4
BetCaseStudy,com.casestudy.BetCaseStudy.api.controller,BulletinController,0,13,0,0,0,3,0,2,0,2
BetCaseStudy,com.casestudy.BetCaseStudy.api.controller,BetSlipController,0,25,0,0,0,8,0,1,0,1
BetCaseStudy,com.casestudy.BetCaseStudy.infrastructure.persistence.mapper,EventMapper,3,24,0,0,1,11,1,1,1,1
